rank,influence,effect_size,band,ai_feasibility,human_irreducibility,substitution_risk,mechanism_conflict,vendor_activity,notes
64,Cooperative vs. individualistic learning,0.55,Above hinge,AI-RESISTANT,High,High,Conflict present,Moderate,Social interdependence theory requires genuine human peer collaboration; AI cannot replicate group accountability and shared social stakes.
65,Technology in other subjects,0.55,Above hinge,AI-NATIVE,Low,High,No conflict,Low,Reasonable AI-native zone for procedural and content-delivery tasks in non-core subjects; teacher curriculum alignment required.
66,Practice testing,0.54,Above hinge,AI-NATIVE,Low,High,Partial conflict,Low,Mechanism conflict risk: immediate answer reveal after wrong response bypasses necessary retrieval effort. AI must require retrieval before providing correct answer.
67,Interactive video methods,0.54,Above hinge,AI-NATIVE,Low,Low,No conflict,Low,Procedural; AI can embed adaptive questioning and branching within video content effectively.
68,Second/third chance programs,0.53,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,AI can design structured re-attempt workflows; human teacher must maintain accountability for genuine re-engagement rather than procedural repetition.
69,Enrichment programs,0.53,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,AI can curate enrichment resources and adaptive challenge; depth of intellectual mentorship requires human expert relationship.
70,Positive peer influences,0.53,Above hinge,AI-RESISTANT,High,High,Conflict present,Low,"Social norm transmission, peer modeling, and belonging are embedded in physical peer community; AI cannot substitute."
71,Peer tutoring,0.53,Above hinge,AI-RESISTANT,High,Medium,Conflict present,Low,"Social-emotional teaching exchange, the act of one student teaching another, is the mechanism; AI monitoring of pairs is peripheral."
72,Cooperative vs. competitive learning,0.53,Above hinge,AI-RESISTANT,High,Medium,Conflict present,Low,Social interdependence and group accountability require physical human presence; AI cannot replicate genuine cooperative stakes.
73,Positive family/home dynamics,0.52,Above hinge,AI-RESISTANT,High,High,Conflict present,Low,"Embodied family relationships, warmth, stability, and shared routines are the mechanism; AI has no meaningful role in the causal chain."
74,Socio-economic status,0.52,Above hinge,AI-ADJACENT,Low,Low,No conflict,Low,AI cannot alter household income or socioeconomic barriers; at best AI can optimize resource allocation within existing constraints.
75,Teacher-student relationships,0.52,Above hinge,AI-RESISTANT,High,High,Conflict present,Moderate,"Empathetic, trusting interpersonal connection is the causal mechanism. AI automating grading can free teacher time for relationships; AI cannot be the relationship."
76,Self-regulation strategies,0.52,Above hinge,AI-AUGMENTED,Medium,High,Partial conflict,Moderate,Mechanism conflict: perpetual AI scaffolding of self-regulation prevents student from internalizing the regulatory capacity.
77,Record keeping,0.52,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,"Procedural logistics; AI can automate record-keeping and surface patterns, freeing teacher time for interpretation and action."
78,Play programs,0.50,Above hinge,AI-RESISTANT,High,High,Conflict present,Low,"Embodied physical play, social negotiation, and intrinsic exploration cannot be replicated by AI-mediated interaction."
79,Parental involvement,0.50,Above hinge,AI-RESISTANT,High,Medium,Partial conflict,Low,AI portals can streamline school-home communication; parental academic encouragement and home learning support are irreducibly human.
80,Student rating of quality of teaching,0.50,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,AI can systematize student feedback collection and surface patterns; teacher must interpret and act on feedback meaningfully.
81,Note taking,0.50,Above hinge,AI-AUGMENTED,Medium,High,Conflict present,Low,Critical mechanism conflict: AI note-taking (transcription) removes the encoding process that generates the learning benefit. Student must produce the notes.
82,Underlining and highlighting,0.50,Above hinge,AI-AUGMENTED,Medium,Low,Conflict present,Low,Mechanism conflict: the act of discriminating important from unimportant information is the learning process; AI doing it removes the benefit.
83,Time on task,0.49,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,AI can detect off-task behavior; physical classroom environment and teacher authority manage sustained engagement.
84,Science programs,0.48,Above hinge,AI-AUGMENTED,Medium,High,No conflict,Low,AI science simulations and adaptive content delivery are legitimate; teacher facilitation of inquiry and experimental reasoning is human.
85,Generalized school effects,0.48,Above hinge,AI-ADJACENT,Medium,Low,No conflict,Low,Broad institutional quality variable; AI can support administrative efficiency but does not address the underlying human institutional factors.
86,Clear goal intentions,0.48,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Low,"Mechanism conflict risk: AI must require student to articulate goals, not supply goals to the student."
87,Providing formative evaluation,0.48,Above hinge,AI-AUGMENTED,Medium,High,No conflict,Low,AI can automate formative assessment collection and visualization; teacher must interpret patterns and adjust live instruction.
88,Questioning,0.48,Above hinge,AI-AUGMENTED,Medium,High,Partial conflict,Moderate,Socratic live questioning that adapts to student verbal responses in real-time requires human teacher; AI generates practice question sets.
89,Intelligent tutoring systems,0.48,Above hinge,AI-NATIVE,Low,High,Partial conflict,High,"Legitimate AI-native zone only with curriculum constraint, learner modeling, step-level feedback, and teacher oversight. Real-world compliance collapses without human enforcement. Vendor claims of Bloom's two-sigma solution are unsupported."
90,Comprehension programs,0.47,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,AI adaptive comprehension tasks are legitimate augmentation; teacher-facilitated meaning-making discussion is the human layer.
91,Integrated curricula programs,0.47,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,AI can surface cross-domain connections; teacher must design coherent integrated learning experiences.
92,Small group learning,0.47,Above hinge,AI-RESISTANT,High,Medium,Conflict present,Low,Relational safety and peer accountability within small groups require physical co-presence; AI facilitation degrades the mechanism.
93,Information communications technology (ICT),0.47,Above hinge,AI-ADJACENT,Low,High,No conflict,Low,Dangerous misuse target: this aggregate pre-dates LLMs. Vendors citing this number for generative AI products are making an unsupported claim.
94,Perceived task value,0.46,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,AI can frame tasks with real-world relevance connections; perception of genuine value is shaped by human teacher modeling and classroom culture.
95,Study skills,0.46,Above hinge,AI-AUGMENTED,Medium,High,Partial conflict,Low,"Mechanism conflict: AI must scaffold practice of study skills, not execute study skills for the student."
96,Relative age within a class,0.45,Above hinge,AI-ADJACENT,Low,Low,No conflict,Low,Not manipulable; AI cannot alter a student's age relative to classmates.
97,Writing programs,0.45,Above hinge,AI-AUGMENTED,Medium,High,Partial conflict,High,"High mechanism conflict risk: AI ghostwriting is the antithesis of the intervention. AI must evaluate and respond to student-produced writing, not produce writing for students."
98,Imagery,0.45,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Low,Student-generated mental imagery is the mechanism; AI can prompt and guide the process but must not substitute images for the student.
99,Achieving motivation and approach,0.44,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,Achievement motivation is shaped by interpersonal academic identity; AI gamification handles surface orientation only.
100,Early years' interventions,0.44,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,"Early childhood development requires physical human care, warmth, and embodied interaction; AI has a limited support role only."
101,Strong classroom cohesion,0.44,Above hinge,AI-RESISTANT,High,Low,Conflict present,Low,"Social belonging, shared identity, and collective classroom culture require physical co-presence and human teacher cultivation."
102,Inductive teaching,0.44,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Low,AI generates diverse examples for pattern discovery; teacher facilitation of the inductive reasoning discussion is the human layer.
103,Technology with elementary students,0.44,Above hinge,AI-NATIVE,Low,High,No conflict,Low,Legitimate AI-native zone for procedural content; developmental appropriateness and safeguarding require strong human teacher oversight.
104,Exposure to reading,0.43,Above hinge,AI-AUGMENTED,Medium,High,No conflict,Low,AI can dramatically increase reading exposure through adaptive text selection; teacher modeling of reading as a valued activity shapes motivation.
105,Outdoor/adventure programs,0.43,Above hinge,AI-RESISTANT,High,Low,Conflict present,Low,"Outdoor challenge, physical risk management, and group resilience-building are entirely embodied; AI has no meaningful role."
106,School size (600-900 students at secondary),0.43,Above hinge,AI-ADJACENT,Low,Low,No conflict,Low,Structural variable; AI cannot alter physical school size or the relational dynamics it creates.
107,Teacher expectations,0.43,Above hinge,AI-AUGMENTED,High,Low,Partial conflict,Low,AI blind-grading and pattern detection can surface implicit low expectations; teacher must actively recalibrate their beliefs and behaviors.
108,Philosophy in schools,0.43,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Low,Community of inquiry requires human facilitation of genuine philosophical dialogue; AI can supply texts and seed questions.
109,Teaching communication skills and strategies,0.43,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,AI can structure communication skill practice tasks; authentic communication competency requires real human interaction.
110,Motivation,0.42,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,"Intrinsic motivation is shaped by autonomy, competence, and relatedness (SDT); AI supports competence feedback but relatedness requires human."
111,Reducing anxiety,0.42,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,AI low-stakes practice reduces performance anxiety around tasks; clinical anxiety management requires human therapeutic relationship.
112,Elaborative interrogation,0.42,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Low,"Mechanism conflict: AI must require student to generate explanations, not provide explanations to the student."
113,Behavioral organizers,0.42,Above hinge,AI-AUGMENTED,Medium,Medium,No conflict,Low,AI can generate visual advance organizers; teacher must connect them explicitly to live instructional sequence.
114,Technology in writing,0.42,Above hinge,AI-NATIVE,Low,High,Conflict present,High,Critical mechanism conflict: AI writing tools that produce text for students are the antithesis of this intervention. Legitimate only as feedback and editing tools on student-produced writing.
115,Technology with college students,0.42,Above hinge,AI-NATIVE,Low,High,Partial conflict,Low,Legitimate AI-native zone for procedural and content delivery; mechanism conflict risk high in writing and problem-solving tasks.
116,Positive self-concept,0.41,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,Positive academic self-concept is built through mastery experiences validated by trusted adults; AI supports mastery experience design.
117,Professional development programs,0.41,Above hinge,AI-AUGMENTED,Medium,Medium,No conflict,Low,"AI can curate and deliver PD content; peer observation, coaching relationships, and collaborative reflection are irreducibly human."
118,Relating creativity to achievement,0.40,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,AI can structure tasks connecting creative and academic domains; teacher evaluation of creative quality shapes student perception of worth.
119,Goal commitment,0.40,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Low,"Mechanism conflict risk: AI must support student commitment to self-set goals, not set goals for students."
120,Cooperative learning,0.40,Above hinge,AI-RESISTANT,High,Medium,Conflict present,Low,"Positive interdependence, individual accountability within groups, and face-to-face interaction are the mechanisms; AI cannot replicate."
121,Inquiry-based teaching,0.40,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Low,AI can surface resources and scaffold inquiry structure; genuine inquiry reasoning and question-formation require human facilitation.
122,After-school programs,0.40,Above hinge,AI-AUGMENTED,Medium,Medium,No conflict,Low,After-school program benefits are partly relational and community-based; AI content delivery is peripheral to the human relationship component.
123,Social skills programs,0.39,Below hinge,AI-RESISTANT,High,Medium,Conflict present,Low,"Social skill acquisition requires embodied human interaction, real-time social feedback, and practice in genuine social contexts."
124,Relations of high school achievement to career performance,0.38,Below hinge,AI-ADJACENT,Low,Medium,No conflict,Low,Correlation between school and career performance; AI career mapping tools are adjacent but do not address the underlying mechanism.
125,Drama/arts programs,0.38,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,"Arts learning benefits from embodied practice, human performance, and audience response; AI tools are peripheral."
126,Career interventions,0.38,Below hinge,AI-ADJACENT,Low,Medium,No conflict,Low,"AI can provide career information and mapping; human mentorship, networking, and personal advising are the primary career intervention mechanisms."
127,Music programs,0.37,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,"Music learning requires embodied physical practice, human performance feedback, and ensemble social experience."
128,Worked examples,0.37,Below hinge,AI-NATIVE,Low,Low,No conflict,Low,Procedural; AI can generate infinite correctly-worked examples aligned to student error patterns and curriculum level.
129,Mobile phones,0.37,Below hinge,AI-ADJACENT,Low,High,No conflict,Low,Below hinge as educational tool; physical phone presence introduces cognitive load and off-task multitasking. Enforcement of bans requires human authority.
130,Bilingual programs,0.36,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,AI translation and language practice tools support bilingual instruction; human cultural competency and linguistic modeling are the primary mechanism.
131,Student-centered teaching,0.36,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,Student-centered teaching requires teacher real-time responsiveness to student interests and needs; AI personalizes content selection peripherally.
132,Attitude to content domains,0.35,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,Content attitude is primarily shaped by teacher modeling of enthusiasm and relevance; AI framing is peripheral.
133,Counseling effects,0.35,Below hinge,AI-RESISTANT,High,Medium,Conflict present,Low,Therapeutic alliance is the primary mechanism of counseling effectiveness; AI chatbot substitution degrades genuine therapeutic relationship.
134,Classroom management,0.35,Below hinge,AI-RESISTANT,High,Medium,Conflict present,Low,"Behavioral authority, physical presence, and relational credibility are the mechanisms of effective classroom management; AI has no meaningful role."
135,Gaming/simulations,0.35,Below hinge,AI-NATIVE,Low,High,Partial conflict,Low,AI can enhance simulation fidelity and adaptivity; teacher must explicitly connect simulation learning to curriculum and ensure transfer.
136,Chess instruction,0.34,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,AI chess engines provide unlimited practice opponents; human instruction in strategic thinking and competitive motivation are the primary mechanism.
137,Motivation/character programs,0.34,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,"Character and motivation programs work through human modeling, relational accountability, and school culture; AI content delivery is peripheral."
138,Decreasing disruptive behavior,0.34,Below hinge,AI-RESISTANT,High,Low,Conflict present,Low,"De-escalation of disruptive behavior requires physical presence, relational authority, and embodied social judgment; AI monitoring is peripheral."
139,Collaborative learning,0.34,Below hinge,AI-RESISTANT,High,Medium,Conflict present,Low,"Genuine collaboration requires physical co-presence, real-time social negotiation, and shared accountability; AI-mediated collaboration degrades the mechanism."
140,Teaching creative thinking,0.34,Below hinge,AI-ADJACENT,Low,Low,Partial conflict,Low,"Creative thinking development requires human facilitation of evaluation, refinement, and social validation of creative output."
141,Stereotype threat,0.33,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,Reducing stereotype threat requires human relational affirmation and belonging signals; AI has no meaningful role in the core mechanism.
142,Technology in mathematics,0.33,Below hinge,AI-NATIVE,Low,High,No conflict,Low,Legitimate AI-native zone for procedural math practice; effect size below hinge means AI math tools should not substitute for high-effect human instruction.
143,ADHD – treatment with drugs,0.32,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,Medical treatment; AI has no role in the causal mechanism.
144,Principals/school leaders,0.32,Below hinge,AI-RESISTANT,High,Low,No conflict,Low,"Instructional leadership requires relational authority, contextual judgment, and embodied presence; AI administrative tools are peripheral."
145,School climate,0.32,Below hinge,AI-RESISTANT,High,Medium,No conflict,Low,"School climate is built through human relationships, shared norms, and leadership behavior; AI climate surveys are data-collection tools only."
146,Average teacher effects,0.32,Below hinge,AI-ADJACENT,High,Low,No conflict,Low,"Aggregate variable; individual teacher quality improvement requires human coaching, not AI."
147,Adjunct aids,0.32,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,"AI can generate summaries, glossaries, and study guides; effect size below hinge suggests these are insufficient as primary interventions."
148,External accountability systems,0.31,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,External accountability is structural and political; AI reporting tools are administrative supports only.
149,Matching style of learning,0.31,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,"Learning styles as a construct has weak empirical support; AI personalization should be based on prior knowledge and performance, not style matching."
150,Manipulative materials on math,0.30,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,Embodied physical manipulation of objects is the causal mechanism; virtual AI manipulatives have reduced physical encoding benefit.
151,Ability grouping for gifted students,0.30,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,Structural grouping decisions require human judgment about equity and individual student needs; AI can support logistics only.
152,Teaching test taking and coaching,0.30,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,AI test preparation tools are legitimate but address a below-hinge intervention; should not substitute for high-effect instructional investments.
153,Technology with high school students,0.30,Below hinge,AI-NATIVE,Low,High,No conflict,Low,"Legitimate AI-native zone for procedural content at high school level; 0.30 effect size means AI tools should augment, not replace, high-effect human instruction."
154,Mindfulness,0.29,Below hinge,AI-ADJACENT,Low,Medium,No conflict,Low,Mindfulness practice benefits from human facilitation and relational context; AI apps provide scripts but not the relational embedding.
155,Home visiting,0.29,Below hinge,AI-RESISTANT,High,Low,Conflict present,Low,"Physical presence in the home, relational trust between visitor and family, and embodied support are the mechanism; AI has no meaningful role."
156,Cognitive behavioral programs,0.29,Below hinge,AI-ADJACENT,Low,Medium,No conflict,Low,Clinical CBT effectiveness depends on therapeutic alliance; AI tools may support between-session practice but cannot replace human therapeutic relationship.
157,Online and digital tools,0.29,Below hinge,AI-NATIVE,Low,High,No conflict,Low,Legitimate AI-native zone; 0.29 effect size is the honest number vendors selling AI digital tools should be required to cite.
158,Technology in reading/literacy,0.29,Below hinge,AI-NATIVE,Low,High,No conflict,Low,Legitimate AI-native zone for reading technology; below hinge effect size means AI reading tools should not be primary literacy intervention.
