profile_id,rank,influence,effect_size,band,ai_feasibility,human_irreducibility,substitution_risk,mechanism_conflict,vendor_activity,hypothetical_ai_effect,notes
P09,52,Tactile stimulation programs,0.58,Above hinge,AI-RESISTANT,High,High,Conflict present,Low,d≈0.05 [HYPOTHESIS]: Physical sensory stimulation cannot be AI-mediated,Embodied physical stimulation is the causal mechanism; AI has no role in the core intervention.
P57,53,Strategy monitoring,0.58,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Moderate,d≈0.40 [HYPOTHESIS]: AI can prompt strategy monitoring; student must do the monitoring,"Mechanism conflict risk: AI must scaffold student self-monitoring, not monitor for the student."
P09,54,Service learning,0.58,Above hinge,AI-RESISTANT,High,High,Conflict present,Low,d≈0.10 [HYPOTHESIS]: Physical community engagement is the causal mechanism,Embodied civic action and community relationship-building cannot be replicated by AI; mechanism is entirely human and contextual.
P07,55,Working memory strength,0.57,Above hinge,AI-ADJACENT,Low,Low,No conflict,Low,"N/A — cognitive trait, not manipulable intervention",AI may track working memory demands of tasks; cannot alter underlying working memory capacity.
P07,56,Full compared to pre-term/low birth weight,0.57,Above hinge,AI-ADJACENT,Low,Low,No conflict,Low,"N/A — biological/developmental variable, not an intervention",Not a manipulable intervention; AI has no role in the causal mechanism.
P32,57,Mastery learning,0.57,Above hinge,AI-AUGMENTED,Medium,High,Partial conflict,High,d≈0.50 [HYPOTHESIS]: AI mastery gating is legitimate; teacher must validate transfer and unstick stuck students,Software-defined mastery often assesses procedural retrieval only. Deep conceptual transfer and self-pacing accountability require human oversight. Vendor claims of 100% mastery are unsupported.
P10,58,Explicit teaching strategies,0.57,Above hinge,AI-AUGMENTED,Medium,Medium,No conflict,Low,d≈0.45 [HYPOTHESIS]: AI can generate explicit strategy instruction materials; live delivery and checking remain human,AI can structure explicit strategy sequences; teacher delivery of modeling and guided practice is the human layer.
P14,59,Technology with learning needs students,0.57,Above hinge,AI-NATIVE,Low,High,No conflict,Low,d≈0.50 [HYPOTHESIS]: AI assistive technology is a legitimate AI-native zone for this population,Strongest legitimate AI-native case in the dataset for specific learning needs; specialized human educator oversight still required.
P03,60,Concentration/persistence/engagement,0.56,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈0.35 [HYPOTHESIS]: AI engagement monitoring is useful; authentic persistence is human-mediated,AI disengagement detection triggers micro-interventions; sustained concentration and persistence require teacher relationship and task design.
P07,61,Prior achievement,0.55,Above hinge,AI-ADJACENT,Low,Low,No conflict,Low,"N/A — background variable, not a manipulable intervention",AI tracks prior achievement indicators; cannot alter the underlying achievement baseline.
P03,62,Visual-perception programs,0.55,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈0.40 [HYPOTHESIS]: AI visual task adaptation is useful; specialist human assessment required for diagnosis,AI can adapt visual complexity of materials; clinical diagnosis and specialist intervention require human professionals.
P21,63,Self-verbalization and self-questioning,0.55,Above hinge,AI-AUGMENTED,Medium,High,Partial conflict,Moderate,d≈0.40 [HYPOTHESIS]: AI prompts can scaffold self-verbalization; student must produce the internal dialogue,"Mechanism conflict: AI must require student to verbalize, not provide the verbalization for them."
P20,64,Cooperative vs. individualistic learning,0.55,Above hinge,AI-RESISTANT,High,High,Conflict present,Moderate,d≈0.10 [HYPOTHESIS]: Cooperative dynamic requires physical peer interdependence,Social interdependence theory requires genuine human peer collaboration; AI cannot replicate group accountability and shared social stakes.
P14,65,Technology in other subjects,0.55,Above hinge,AI-NATIVE,Low,High,No conflict,Low,d≈0.40 [HYPOTHESIS]: AI content delivery in non-core subjects is a legitimate use case,Reasonable AI-native zone for procedural and content-delivery tasks in non-core subjects; teacher curriculum alignment required.
P33,66,Practice testing,0.54,Above hinge,AI-NATIVE,Low,High,Partial conflict,Low,d≈0.50 [HYPOTHESIS]: AI automated micro-quizzing is genuinely AI-native; answer-reveal timing is critical design variable,Mechanism conflict risk: immediate answer reveal after wrong response bypasses necessary retrieval effort. AI must require retrieval before providing correct answer.
P30,67,Interactive video methods,0.54,Above hinge,AI-NATIVE,Low,Low,No conflict,Low,d≈0.45 [HYPOTHESIS]: AI-enhanced interactive video with embedded questions is AI-native,Procedural; AI can embed adaptive questioning and branching within video content effectively.
P03,68,Second/third chance programs,0.53,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈0.40 [HYPOTHESIS]: AI can structure re-attempt pathways; human accountability for engagement remains important,AI can design structured re-attempt workflows; human teacher must maintain accountability for genuine re-engagement rather than procedural repetition.
P03,69,Enrichment programs,0.53,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈0.40 [HYPOTHESIS]: AI content curation for enrichment is useful; mentorship and depth require human,AI can curate enrichment resources and adaptive challenge; depth of intellectual mentorship requires human expert relationship.
P09,70,Positive peer influences,0.53,Above hinge,AI-RESISTANT,High,High,Conflict present,Low,d≈0.05 [HYPOTHESIS]: Peer influence is a social-contextual mechanism AI cannot replicate,"Social norm transmission, peer modeling, and belonging are embedded in physical peer community; AI cannot substitute."
P16,71,Peer tutoring,0.53,Above hinge,AI-RESISTANT,High,Medium,Conflict present,Low,d≈0.10 [HYPOTHESIS]: Peer teaching exchange requires physical human presence,"Social-emotional teaching exchange, the act of one student teaching another, is the mechanism; AI monitoring of pairs is peripheral."
P16,72,Cooperative vs. competitive learning,0.53,Above hinge,AI-RESISTANT,High,Medium,Conflict present,Low,d≈0.10 [HYPOTHESIS]: Cooperative social dynamic requires physical human interdependence,Social interdependence and group accountability require physical human presence; AI cannot replicate genuine cooperative stakes.
P09,73,Positive family/home dynamics,0.52,Above hinge,AI-RESISTANT,High,High,Conflict present,Low,d≈0.05 [HYPOTHESIS]: Family relational dynamics are not AI-addressable,"Embodied family relationships, warmth, stability, and shared routines are the mechanism; AI has no meaningful role in the causal chain."
P07,74,Socio-economic status,0.52,Above hinge,AI-ADJACENT,Low,Low,No conflict,Low,"N/A — structural variable, not a manipulable intervention",AI cannot alter household income or socioeconomic barriers; at best AI can optimize resource allocation within existing constraints.
P20,75,Teacher-student relationships,0.52,Above hinge,AI-RESISTANT,High,High,Conflict present,Moderate,d≈0.05 [HYPOTHESIS]: AI administrative support only; face-to-face relationship time is the mechanism,"Empathetic, trusting interpersonal connection is the causal mechanism. AI automating grading can free teacher time for relationships; AI cannot be the relationship."
P21,76,Self-regulation strategies,0.52,Above hinge,AI-AUGMENTED,Medium,High,Partial conflict,Moderate,d≈0.40 [HYPOTHESIS]: AI can scaffold self-regulation prompts; systematic fading required,Mechanism conflict: perpetual AI scaffolding of self-regulation prevents student from internalizing the regulatory capacity.
P03,77,Record keeping,0.52,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈0.45 [HYPOTHESIS]: AI record-keeping automation is a legitimate use case,"Procedural logistics; AI can automate record-keeping and surface patterns, freeing teacher time for interpretation and action."
P09,78,Play programs,0.50,Above hinge,AI-RESISTANT,High,High,Conflict present,Low,"d≈0.05 [HYPOTHESIS]: Physical, embodied, unstructured play is the mechanism","Embodied physical play, social negotiation, and intrinsic exploration cannot be replicated by AI-mediated interaction."
P60,79,Parental involvement,0.50,Above hinge,AI-RESISTANT,High,Medium,Partial conflict,Low,d≈0.15 [HYPOTHESIS]: AI communication tools reduce friction; actual parental engagement is human,AI portals can streamline school-home communication; parental academic encouragement and home learning support are irreducibly human.
P03,80,Student rating of quality of teaching,0.50,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈0.35 [HYPOTHESIS]: AI can aggregate and pattern student feedback; teacher interpretation and response must be human,AI can systematize student feedback collection and surface patterns; teacher must interpret and act on feedback meaningfully.
P58,81,Note taking,0.50,Above hinge,AI-AUGMENTED,Medium,High,Conflict present,Low,d≈0.30 [HYPOTHESIS]: Student must take the notes; AI transcription bypasses the mechanism entirely,Critical mechanism conflict: AI note-taking (transcription) removes the encoding process that generates the learning benefit. Student must produce the notes.
P59,82,Underlining and highlighting,0.50,Above hinge,AI-AUGMENTED,Medium,Low,Conflict present,Low,d≈0.25 [HYPOTHESIS]: Student must select what to highlight; AI highlighting bypasses the discrimination process,Mechanism conflict: the act of discriminating important from unimportant information is the learning process; AI doing it removes the benefit.
P03,83,Time on task,0.49,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈0.35 [HYPOTHESIS]: AI engagement monitoring supports time-on-task; teacher management of environment is essential,AI can detect off-task behavior; physical classroom environment and teacher authority manage sustained engagement.
P15,84,Science programs,0.48,Above hinge,AI-AUGMENTED,Medium,High,No conflict,Low,d≈0.40 [HYPOTHESIS]: AI simulation and adaptive content are useful augmentation; inquiry facilitation remains human,AI science simulations and adaptive content delivery are legitimate; teacher facilitation of inquiry and experimental reasoning is human.
P61,85,Generalized school effects,0.48,Above hinge,AI-ADJACENT,Medium,Low,No conflict,Low,N/A — aggregate institutional variable,Broad institutional quality variable; AI can support administrative efficiency but does not address the underlying human institutional factors.
P04,86,Clear goal intentions,0.48,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Low,d≈0.35 [HYPOTHESIS]: AI goal-setting prompts are useful; student must formulate the goals,"Mechanism conflict risk: AI must require student to articulate goals, not supply goals to the student."
P15,87,Providing formative evaluation,0.48,Above hinge,AI-AUGMENTED,Medium,High,No conflict,Low,d≈0.40 [HYPOTHESIS]: AI formative data collection is legitimate; teacher interpretation and instructional adjustment are human,AI can automate formative assessment collection and visualization; teacher must interpret patterns and adjust live instruction.
P21,88,Questioning,0.48,Above hinge,AI-AUGMENTED,Medium,High,Partial conflict,Moderate,d≈0.35 [HYPOTHESIS]: AI can generate question sets; live classroom questioning discourse requires human teacher,Socratic live questioning that adapts to student verbal responses in real-time requires human teacher; AI generates practice question sets.
P62,89,Intelligent tutoring systems,0.48,Above hinge,AI-NATIVE,Low,High,Partial conflict,High,d≈0.45 curriculum-aligned [HYPOTHESIS]; d≈0.20 unconstrained chat [HYPOTHESIS],"Legitimate AI-native zone only with curriculum constraint, learner modeling, step-level feedback, and teacher oversight. Real-world compliance collapses without human enforcement. Vendor claims of Bloom's two-sigma solution are unsupported."
P03,90,Comprehension programs,0.47,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈0.35 [HYPOTHESIS]: AI adaptive reading comprehension tools are useful; teacher-led discussion of meaning remains essential,AI adaptive comprehension tasks are legitimate augmentation; teacher-facilitated meaning-making discussion is the human layer.
P03,91,Integrated curricula programs,0.47,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈0.35 [HYPOTHESIS]: AI cross-curricular content mapping is useful; teacher design of integrated units remains human,AI can surface cross-domain connections; teacher must design coherent integrated learning experiences.
P16,92,Small group learning,0.47,Above hinge,AI-RESISTANT,High,Medium,Conflict present,Low,d≈0.10 [HYPOTHESIS]: Small group social dynamics require physical human presence,Relational safety and peer accountability within small groups require physical co-presence; AI facilitation degrades the mechanism.
P63,93,Information communications technology (ICT),0.47,Above hinge,AI-ADJACENT,Low,High,No conflict,Low,N/A — broad pre-LLM technology bucket; do not use as evidence for modern AI products,Dangerous misuse target: this aggregate pre-dates LLMs. Vendors citing this number for generative AI products are making an unsupported claim.
P03,94,Perceived task value,0.46,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈0.30 [HYPOTHESIS]: AI task design can build relevance connections; authentic value perception requires human context,AI can frame tasks with real-world relevance connections; perception of genuine value is shaped by human teacher modeling and classroom culture.
P64,95,Study skills,0.46,Above hinge,AI-AUGMENTED,Medium,High,Partial conflict,Low,d≈0.35 [HYPOTHESIS]: AI study scaffolds are useful; student must practice the skills independently,"Mechanism conflict: AI must scaffold practice of study skills, not execute study skills for the student."
P07,96,Relative age within a class,0.45,Above hinge,AI-ADJACENT,Low,Low,No conflict,Low,N/A — structural demographic variable,Not manipulable; AI cannot alter a student's age relative to classmates.
P32,97,Writing programs,0.45,Above hinge,AI-AUGMENTED,Medium,High,Partial conflict,High,d≈0.35 [HYPOTHESIS]: AI writing feedback is useful; student must produce the writing,"High mechanism conflict risk: AI ghostwriting is the antithesis of the intervention. AI must evaluate and respond to student-produced writing, not produce writing for students."
P04,98,Imagery,0.45,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Low,d≈0.35 [HYPOTHESIS]: AI can prompt and scaffold imagery use; student must generate the mental images,Student-generated mental imagery is the mechanism; AI can prompt and guide the process but must not substitute images for the student.
P03,99,Achieving motivation and approach,0.44,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈0.30 [HYPOTHESIS]: AI gamification supports achievement orientation; deep motivational identity requires human relationship,Achievement motivation is shaped by interpersonal academic identity; AI gamification handles surface orientation only.
P03,100,Early years' interventions,0.44,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈0.30 [HYPOTHESIS]: AI can support early years content delivery; relational care and physical stimulation remain human,"Early childhood development requires physical human care, warmth, and embodied interaction; AI has a limited support role only."
P34,101,Strong classroom cohesion,0.44,Above hinge,AI-RESISTANT,High,Low,Conflict present,Low,d≈0.05 [HYPOTHESIS]: Classroom community is built through shared physical experience,"Social belonging, shared identity, and collective classroom culture require physical co-presence and human teacher cultivation."
P04,102,Inductive teaching,0.44,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Low,d≈0.35 [HYPOTHESIS]: AI can generate inductive example sets; teacher facilitation of reasoning process remains essential,AI generates diverse examples for pattern discovery; teacher facilitation of the inductive reasoning discussion is the human layer.
P14,103,Technology with elementary students,0.44,Above hinge,AI-NATIVE,Low,High,No conflict,Low,d≈0.35 [HYPOTHESIS]: AI content delivery for elementary students is a legitimate use case with strong oversight requirements,Legitimate AI-native zone for procedural content; developmental appropriateness and safeguarding require strong human teacher oversight.
P15,104,Exposure to reading,0.43,Above hinge,AI-AUGMENTED,Medium,High,No conflict,Low,d≈0.35 [HYPOTHESIS]: AI adaptive reading platforms increase exposure; teacher-modeled reading enthusiasm matters,AI can dramatically increase reading exposure through adaptive text selection; teacher modeling of reading as a valued activity shapes motivation.
