cluster_id,cluster_label,count,avg_effect_size,min_effect_size,max_effect_size,top_5_by_rank,dimensions
C01,Below hinge / AI-adjacent / Low human irreducibility / Low substitution risk / no cognitive-work conflict / Low vendor activity,38,0.27,0.15,0.38,125. Drama/arts programs (0.38); 127. Music programs (0.37); 130. Bilingual programs (0.36); 131. Student-centered teaching (0.36); 132. Attitude to content domains (0.35),band=Below hinge | ai_feasibility=AI-ADJACENT | human_irreducibility=Low | substitution_risk=Low | mechanism_conflict=No conflict | vendor_activity=Low
C30,Above hinge / AI-native / Low human irreducibility / Low substitution risk / no cognitive-work conflict / Low vendor activity,2,0.56,0.54,0.58,51. Spelling programs (0.58); 67. Interactive video methods (0.54),band=Above hinge | ai_feasibility=AI-NATIVE | human_irreducibility=Low | substitution_risk=Low | mechanism_conflict=No conflict | vendor_activity=Low
C31,Above hinge / AI-augmented / High human irreducibility / Low substitution risk / partial cognitive-work conflict / Low vendor activity,2,0.56,0.43,0.68,37. Problem-solving teaching (0.68); 107. Teacher expectations (0.43),band=Above hinge | ai_feasibility=AI-AUGMENTED | human_irreducibility=High | substitution_risk=Low | mechanism_conflict=Partial conflict | vendor_activity=Low
C32,Above hinge / AI-augmented / Medium human irreducibility / High substitution risk / partial cognitive-work conflict / High vendor activity,2,0.51,0.45,0.57,57. Mastery learning (0.57); 97. Writing programs (0.45),band=Above hinge | ai_feasibility=AI-AUGMENTED | human_irreducibility=Medium | substitution_risk=High | mechanism_conflict=Partial conflict | vendor_activity=High
C33,Above hinge / AI-native / Low human irreducibility / High substitution risk / partial cognitive-work conflict / Low vendor activity,2,0.48,0.42,0.54,66. Practice testing (0.54); 115. Technology with college students (0.42),band=Above hinge | ai_feasibility=AI-NATIVE | human_irreducibility=Low | substitution_risk=High | mechanism_conflict=Partial conflict | vendor_activity=Low
C34,Above hinge / AI-resistant / High human irreducibility / Low substitution risk / cognitive-work conflict / Low vendor activity,2,0.43,0.43,0.44,101. Strong classroom cohesion (0.44); 105. Outdoor/adventure programs (0.43),band=Above hinge | ai_feasibility=AI-RESISTANT | human_irreducibility=High | substitution_risk=Low | mechanism_conflict=Conflict present | vendor_activity=Low
C35,Below hinge / AI-native / Low human irreducibility / High substitution risk / partial cognitive-work conflict / Low vendor activity,2,0.31,0.27,0.35,135. Gaming/simulations (0.35); 163. Use of calculators (0.27),band=Below hinge | ai_feasibility=AI-NATIVE | human_irreducibility=Low | substitution_risk=High | mechanism_conflict=Partial conflict | vendor_activity=Low
C36,Below hinge / AI-native / Low human irreducibility / Low substitution risk / no cognitive-work conflict / Low vendor activity,2,0.30,0.23,0.37,128. Worked examples (0.37); 180. Programmed instruction (0.23),band=Below hinge | ai_feasibility=AI-NATIVE | human_irreducibility=Low | substitution_risk=Low | mechanism_conflict=No conflict | vendor_activity=Low
C37,Below hinge / AI-augmented / Medium human irreducibility / Low substitution risk / no cognitive-work conflict / Low vendor activity,2,0.23,0.21,0.25,172. Grit/incremental vs. entity thinking (0.25); 187. Interleaved practice (0.21),band=Below hinge | ai_feasibility=AI-AUGMENTED | human_irreducibility=Medium | substitution_risk=Low | mechanism_conflict=No conflict | vendor_activity=Low
C38,Negligible / AI-native / Low human irreducibility / High substitution risk / no cognitive-work conflict / Low vendor activity,2,0.07,0.01,0.13,204. Distance education (0.13); 235. Technology in distance education (0.01),band=Negligible | ai_feasibility=AI-NATIVE | human_irreducibility=Low | substitution_risk=High | mechanism_conflict=No conflict | vendor_activity=Low
C39,Harmful / AI-adjacent / High human irreducibility / Low substitution risk / no cognitive-work conflict / Low vendor activity,2,-0.14,-0.16,-0.12,240. Family on welfare/state aid (-0.12); 241. Parental military deployment (-0.16),band=Harmful | ai_feasibility=AI-ADJACENT | human_irreducibility=High | substitution_risk=Low | mechanism_conflict=No conflict | vendor_activity=Low
C40,Harmful / AI-resistant / High human irreducibility / Low substitution risk / no cognitive-work conflict / Low vendor activity,2,-0.27,-0.33,-0.20,244. Suspension/expelling students (-0.2); 247. Corporal punishment in the home (-0.33),band=Harmful | ai_feasibility=AI-RESISTANT | human_irreducibility=High | substitution_risk=Low | mechanism_conflict=No conflict | vendor_activity=Low
C41,Harmful / AI-augmented / Medium human irreducibility / Low substitution risk / no cognitive-work conflict / Low vendor activity,2,-0.31,-0.61,-0.01,236. Performance goals (-0.01); 251. Deafness (-0.61),band=Harmful | ai_feasibility=AI-AUGMENTED | human_irreducibility=Medium | substitution_risk=Low | mechanism_conflict=No conflict | vendor_activity=Low
C42,High / AI-resistant / High human irreducibility / High substitution risk / no cognitive-work conflict / Low vendor activity,1,1.57,1.57,1.57,1. Collective teacher efficacy (1.57),band=High | ai_feasibility=AI-RESISTANT | human_irreducibility=High | substitution_risk=High | mechanism_conflict=No conflict | vendor_activity=Low
C43,High / AI-augmented / High human irreducibility / Medium substitution risk / no cognitive-work conflict / Low vendor activity,1,1.29,1.29,1.29,3. Teacher estimates of achievement (1.29),band=High | ai_feasibility=AI-AUGMENTED | human_irreducibility=High | substitution_risk=Medium | mechanism_conflict=No conflict | vendor_activity=Low
C44,High / AI-adjacent / Low human irreducibility / Low substitution risk / no cognitive-work conflict / Low vendor activity,1,0.94,0.94,0.94,9. Prior ability (0.94),band=High | ai_feasibility=AI-ADJACENT | human_irreducibility=Low | substitution_risk=Low | mechanism_conflict=No conflict | vendor_activity=Low
C45,High / AI-augmented / High human irreducibility / High substitution risk / cognitive-work conflict / Moderate vendor activity,1,0.82,0.82,0.82,15. Classroom discussion (0.82),band=High | ai_feasibility=AI-AUGMENTED | human_irreducibility=High | substitution_risk=High | mechanism_conflict=Conflict present | vendor_activity=Moderate
C46,High / AI-augmented / Medium human irreducibility / Medium substitution risk / partial cognitive-work conflict / High vendor activity,1,0.82,0.82,0.82,16. Scaffolding (0.82),band=High | ai_feasibility=AI-AUGMENTED | human_irreducibility=Medium | substitution_risk=Medium | mechanism_conflict=Partial conflict | vendor_activity=High
C47,High / AI-augmented / Medium human irreducibility / Medium substitution risk / partial cognitive-work conflict / Low vendor activity,1,0.79,0.79,0.79,17. Deliberate practice (0.79),band=High | ai_feasibility=AI-AUGMENTED | human_irreducibility=Medium | substitution_risk=Medium | mechanism_conflict=Partial conflict | vendor_activity=Low
C48,High / AI-native / Low human irreducibility / High substitution risk / cognitive-work conflict / Low vendor activity,1,0.79,0.79,0.79,18. Summarization (0.79),band=High | ai_feasibility=AI-NATIVE | human_irreducibility=Low | substitution_risk=High | mechanism_conflict=Conflict present | vendor_activity=Low
C49,High / AI-augmented / Medium human irreducibility / Medium substitution risk / no cognitive-work conflict / Moderate vendor activity,1,0.77,0.77,0.77,20. Interventions for students with learning needs (0.77),band=High | ai_feasibility=AI-AUGMENTED | human_irreducibility=Medium | substitution_risk=Medium | mechanism_conflict=No conflict | vendor_activity=Moderate
C50,High / AI-augmented / High human irreducibility / Medium substitution risk / no cognitive-work conflict / Moderate vendor activity,1,0.75,0.75,0.75,24. Teacher clarity (0.75),band=High | ai_feasibility=AI-AUGMENTED | human_irreducibility=High | substitution_risk=Medium | mechanism_conflict=No conflict | vendor_activity=Moderate
C51,High / AI-native / Low human irreducibility / High substitution risk / no cognitive-work conflict / Low vendor activity,1,0.75,0.75,0.75,23. Repeated reading programs (0.75),band=High | ai_feasibility=AI-NATIVE | human_irreducibility=Low | substitution_risk=High | mechanism_conflict=No conflict | vendor_activity=Low
C52,High / AI-augmented / Medium human irreducibility / High substitution risk / no cognitive-work conflict / Low vendor activity,1,0.70,0.70,0.70,31. Phonics instruction (0.7),band=High | ai_feasibility=AI-AUGMENTED | human_irreducibility=Medium | substitution_risk=High | mechanism_conflict=No conflict | vendor_activity=Low
C53,High / AI-augmented / Medium human irreducibility / High substitution risk / partial cognitive-work conflict / High vendor activity,1,0.70,0.70,0.70,32. Feedback (0.7),band=High | ai_feasibility=AI-AUGMENTED | human_irreducibility=Medium | substitution_risk=High | mechanism_conflict=Partial conflict | vendor_activity=High
C54,Above hinge / AI-augmented / Low human irreducibility / Low substitution risk / partial cognitive-work conflict / Moderate vendor activity,1,0.68,0.68,0.68,36. Learning goals vs. no goals (0.68),band=Above hinge | ai_feasibility=AI-AUGMENTED | human_irreducibility=Low | substitution_risk=Low | mechanism_conflict=Partial conflict | vendor_activity=Moderate
C55,Above hinge / AI-augmented / Medium human irreducibility / Moderate substitution risk / partial cognitive-work conflict / Low vendor activity,1,0.64,0.64,0.64,39. Concept mapping (0.64),band=Above hinge | ai_feasibility=AI-AUGMENTED | human_irreducibility=Medium | substitution_risk=Moderate | mechanism_conflict=Partial conflict | vendor_activity=Low
C56,Above hinge / AI-augmented / Medium human irreducibility / Low substitution risk / partial cognitive-work conflict / High vendor activity,1,0.60,0.60,0.60,46. Meta-cognitive strategies (0.6),band=Above hinge | ai_feasibility=AI-AUGMENTED | human_irreducibility=Medium | substitution_risk=Low | mechanism_conflict=Partial conflict | vendor_activity=High
C57,Above hinge / AI-augmented / Medium human irreducibility / Low substitution risk / partial cognitive-work conflict / Moderate vendor activity,1,0.58,0.58,0.58,53. Strategy monitoring (0.58),band=Above hinge | ai_feasibility=AI-AUGMENTED | human_irreducibility=Medium | substitution_risk=Low | mechanism_conflict=Partial conflict | vendor_activity=Moderate
C58,Above hinge / AI-augmented / Medium human irreducibility / High substitution risk / cognitive-work conflict / Low vendor activity,1,0.50,0.50,0.50,81. Note taking (0.5),band=Above hinge | ai_feasibility=AI-AUGMENTED | human_irreducibility=Medium | substitution_risk=High | mechanism_conflict=Conflict present | vendor_activity=Low
C59,Above hinge / AI-augmented / Medium human irreducibility / Low substitution risk / cognitive-work conflict / Low vendor activity,1,0.50,0.50,0.50,82. Underlining and highlighting (0.5),band=Above hinge | ai_feasibility=AI-AUGMENTED | human_irreducibility=Medium | substitution_risk=Low | mechanism_conflict=Conflict present | vendor_activity=Low
C60,Above hinge / AI-resistant / High human irreducibility / Moderate substitution risk / partial cognitive-work conflict / Low vendor activity,1,0.50,0.50,0.50,79. Parental involvement (0.5),band=Above hinge | ai_feasibility=AI-RESISTANT | human_irreducibility=High | substitution_risk=Moderate | mechanism_conflict=Partial conflict | vendor_activity=Low
C61,Above hinge / AI-adjacent / Medium human irreducibility / Low substitution risk / no cognitive-work conflict / Low vendor activity,1,0.48,0.48,0.48,85. Generalized school effects (0.48),band=Above hinge | ai_feasibility=AI-ADJACENT | human_irreducibility=Medium | substitution_risk=Low | mechanism_conflict=No conflict | vendor_activity=Low
C62,Above hinge / AI-native / Low human irreducibility / High substitution risk / partial cognitive-work conflict / High vendor activity,1,0.48,0.48,0.48,89. Intelligent tutoring systems (0.48),band=Above hinge | ai_feasibility=AI-NATIVE | human_irreducibility=Low | substitution_risk=High | mechanism_conflict=Partial conflict | vendor_activity=High
C63,Above hinge / AI-adjacent / Low human irreducibility / High substitution risk / no cognitive-work conflict / Low vendor activity,1,0.47,0.47,0.47,93. Information communications technology (ICT) (0.47),band=Above hinge | ai_feasibility=AI-ADJACENT | human_irreducibility=Low | substitution_risk=High | mechanism_conflict=No conflict | vendor_activity=Low
C64,Above hinge / AI-augmented / Medium human irreducibility / High substitution risk / partial cognitive-work conflict / Low vendor activity,1,0.46,0.46,0.46,95. Study skills (0.46),band=Above hinge | ai_feasibility=AI-AUGMENTED | human_irreducibility=Medium | substitution_risk=High | mechanism_conflict=Partial conflict | vendor_activity=Low
C65,Above hinge / AI-native / Low human irreducibility / High substitution risk / cognitive-work conflict / High vendor activity,1,0.42,0.42,0.42,114. Technology in writing (0.42),band=Above hinge | ai_feasibility=AI-NATIVE | human_irreducibility=Low | substitution_risk=High | mechanism_conflict=Conflict present | vendor_activity=High
C66,Below hinge / AI-adjacent / Low human irreducibility / High substitution risk / no cognitive-work conflict / Low vendor activity,1,0.37,0.37,0.37,129. Mobile phones (0.37),band=Below hinge | ai_feasibility=AI-ADJACENT | human_irreducibility=Low | substitution_risk=High | mechanism_conflict=No conflict | vendor_activity=Low
C67,Below hinge / AI-resistant / High human irreducibility / Moderate substitution risk / no cognitive-work conflict / Low vendor activity,1,0.32,0.32,0.32,145. School climate (0.32),band=Below hinge | ai_feasibility=AI-RESISTANT | human_irreducibility=High | substitution_risk=Moderate | mechanism_conflict=No conflict | vendor_activity=Low
C68,Below hinge / AI-resistant / High human irreducibility / High substitution risk / cognitive-work conflict / High vendor activity,1,0.29,0.29,0.29,159. Homework (0.29),band=Below hinge | ai_feasibility=AI-RESISTANT | human_irreducibility=High | substitution_risk=High | mechanism_conflict=Conflict present | vendor_activity=High
C69,Below hinge / AI-resistant / High human irreducibility / High substitution risk / cognitive-work conflict / Low vendor activity,1,0.21,0.21,0.21,189. Technology in small groups (0.21),band=Below hinge | ai_feasibility=AI-RESISTANT | human_irreducibility=High | substitution_risk=High | mechanism_conflict=Conflict present | vendor_activity=Low
C70,Negligible / AI-resistant / High human irreducibility / Moderate substitution risk / cognitive-work conflict / Low vendor activity,1,0.12,0.12,0.12,210. Mentoring (0.12),band=Negligible | ai_feasibility=AI-RESISTANT | human_irreducibility=High | substitution_risk=Moderate | mechanism_conflict=Conflict present | vendor_activity=Low
C71,Negligible / AI-resistant / High human irreducibility / Low substitution risk / no cognitive-work conflict / Low vendor activity,1,0.11,0.11,0.11,213. Teacher subject matter knowledge (0.11),band=Negligible | ai_feasibility=AI-RESISTANT | human_irreducibility=High | substitution_risk=Low | mechanism_conflict=No conflict | vendor_activity=Low
C72,Negligible / AI-augmented / Medium human irreducibility / High substitution risk / partial cognitive-work conflict / Low vendor activity,1,0.06,0.06,0.06,224. Mastery goals (0.06),band=Negligible | ai_feasibility=AI-AUGMENTED | human_irreducibility=Medium | substitution_risk=High | mechanism_conflict=Partial conflict | vendor_activity=Low
C73,Negligible / AI-adjacent / Low human irreducibility / Low substitution risk / partial cognitive-work conflict / Low vendor activity,1,0.02,0.02,0.02,232. Student control over learning (0.02),band=Negligible | ai_feasibility=AI-ADJACENT | human_irreducibility=Low | substitution_risk=Low | mechanism_conflict=Partial conflict | vendor_activity=Low
C74,Harmful / AI-adjacent / Low human irreducibility / Low substitution risk / cognitive-work conflict / Low vendor activity,1,-0.11,-0.11,-0.11,239. Surface motivation and approach (-0.11),band=Harmful | ai_feasibility=AI-ADJACENT | human_irreducibility=Low | substitution_risk=Low | mechanism_conflict=Conflict present | vendor_activity=Low
C75,Harmful / AI-resistant / High human irreducibility / Low substitution risk / cognitive-work conflict / Low vendor activity,1,-0.19,-0.19,-0.19,243. Students feeling disliked (-0.19),band=Harmful | ai_feasibility=AI-RESISTANT | human_irreducibility=High | substitution_risk=Low | mechanism_conflict=Conflict present | vendor_activity=Low
C76,Harmful / AI-adjacent / Low human irreducibility / Low substitution risk / partial cognitive-work conflict / Low vendor activity,1,-0.29,-0.29,-0.29,245. Non-standard dialect use (-0.29),band=Harmful | ai_feasibility=AI-ADJACENT | human_irreducibility=Low | substitution_risk=Low | mechanism_conflict=Partial conflict | vendor_activity=Low
C77,Harmful / AI-augmented / Medium human irreducibility / Low substitution risk / partial cognitive-work conflict / Low vendor activity,1,-0.49,-0.49,-0.49,250. Boredom (-0.49),band=Harmful | ai_feasibility=AI-AUGMENTED | human_irreducibility=Medium | substitution_risk=Low | mechanism_conflict=Partial conflict | vendor_activity=Low
C78,Harmful / AI-augmented / High human irreducibility / Low substitution risk / no cognitive-work conflict / Low vendor activity,1,-0.90,-0.90,-0.90,252. ADHD (-0.9),band=Harmful | ai_feasibility=AI-AUGMENTED | human_irreducibility=High | substitution_risk=Low | mechanism_conflict=No conflict | vendor_activity=Low
