rank,influence,effect_size,band,ai_feasibility,human_irreducibility,vendor_activity,notes
77,Record keeping,0.52,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
78,Play programs,0.5,Above hinge,AI-RESISTANT,High,Low,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
79,Parental involvement,0.5,Above hinge,AI-RESISTANT,High,Moderate,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
80,Student rating of quality of teaching,0.5,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
81,Note taking,0.5,Above hinge,AI-AUGMENTED,Medium,High,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
82,Underlining and highlighting,0.5,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
83,Time on task,0.49,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
84,Science programs,0.48,Above hinge,AI-AUGMENTED,Medium,High,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
85,Generalized school effects,0.48,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
86,Clear goal intentions,0.48,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
87,Providing formative evaluation,0.48,Above hinge,AI-AUGMENTED,Medium,High,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
88,Questioning,0.48,Above hinge,AI-AUGMENTED,Medium,High,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
89,Intelligent tutoring systems,0.48,Above hinge,AI-NATIVE,Low,High,"Legitimate AI-native zone only when structured around curriculum, learner modeling, step-level feedback, and teacher oversight."
90,Comprehension programs,0.47,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
91,Integrated curricula programs,0.47,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
92,Small group learning,0.47,Above hinge,AI-RESISTANT,High,Moderate,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
93,Information communications technology (ICT),0.47,Above hinge,AI-ADJACENT,Low,High,Broad pre-LLM technology bucket; should not be used as direct evidence for modern generative AI products.
94,Perceived task value,0.46,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
95,Study skills,0.46,Above hinge,AI-AUGMENTED,Medium,High,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
96,Relative age within a class,0.45,Above hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
97,Writing programs,0.45,Above hinge,AI-AUGMENTED,Medium,High,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
98,Imagery,0.45,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
99,Achieving motivation and approach,0.44,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
100,Early years’ interventions,0.44,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
101,Strong classroom cohesion,0.44,Above hinge,AI-RESISTANT,High,Low,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
102,Inductive teaching,0.44,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
103,Technology with elementary students,0.44,Above hinge,AI-NATIVE,Low,High,"Core routine is procedural or digital enough for AI/system delivery, assuming accuracy, alignment, and monitoring."
104,Exposure to reading,0.43,Above hinge,AI-AUGMENTED,Medium,High,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
105,Outdoor/adventure programs,0.43,Above hinge,AI-RESISTANT,High,Low,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
106,School size (600-900 students at secondary),0.43,Above hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
107,Teacher expectations,0.43,Above hinge,AI-AUGMENTED,High,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
108,Philosophy in schools,0.43,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
109,Teaching communication skills and strategies,0.43,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
110,Motivation,0.42,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
111,Reducing anxiety,0.42,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
112,Elaborative interrogation,0.42,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
113,Behavioral organizers,0.42,Above hinge,AI-AUGMENTED,Medium,Moderate,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
114,Technology in writing,0.42,Above hinge,AI-NATIVE,Low,High,"Core routine is procedural or digital enough for AI/system delivery, assuming accuracy, alignment, and monitoring."
115,Technology with college students,0.42,Above hinge,AI-NATIVE,Low,High,"Core routine is procedural or digital enough for AI/system delivery, assuming accuracy, alignment, and monitoring."
116,Positive self-concept,0.41,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
117,Professional development programs,0.41,Above hinge,AI-AUGMENTED,Medium,Moderate,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
118,Relating creativity to achievement,0.4,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
119,Goal commitment,0.4,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
120,Cooperative learning,0.4,Above hinge,AI-RESISTANT,High,Moderate,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
121,Inquiry-based teaching,0.4,Above hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
122,After-school programs,0.4,Above hinge,AI-AUGMENTED,Medium,Moderate,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
123,Social skills programs,0.39,Below hinge,AI-RESISTANT,High,Moderate,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
124,Relations of high school achievement to career performance,0.38,Below hinge,AI-ADJACENT,Low,Moderate,"AI may track or report on this influence, but it is not the causal mechanism."
125,Drama/arts programs,0.38,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
126,Career interventions,0.38,Below hinge,AI-ADJACENT,Low,Moderate,"AI may track or report on this influence, but it is not the causal mechanism."
127,Music programs,0.37,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
128,Worked examples,0.37,Below hinge,AI-NATIVE,Low,Low,"Core routine is procedural or digital enough for AI/system delivery, assuming accuracy, alignment, and monitoring."
129,Mobile phones,0.37,Below hinge,AI-ADJACENT,Low,High,Below hinge; AI may increase utility in constrained tasks but also increases distraction and off-task risks.
130,Bilingual programs,0.36,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
131,Student-centered teaching,0.36,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
132,Attitude to content domains,0.35,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
133,Counseling effects,0.35,Below hinge,AI-RESISTANT,High,Moderate,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
134,Classroom management,0.35,Below hinge,AI-RESISTANT,High,Moderate,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
135,Gaming/simulations,0.35,Below hinge,AI-NATIVE,Low,High,"Core routine is procedural or digital enough for AI/system delivery, assuming accuracy, alignment, and monitoring."
136,Chess instruction,0.34,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
137,Motivation/character programs,0.34,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
138,Decreasing disruptive behavior,0.34,Below hinge,AI-RESISTANT,High,Low,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
139,Collaborative learning,0.34,Below hinge,AI-RESISTANT,High,Moderate,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
140,Teaching creative thinking,0.34,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
141,Stereotype threat,0.33,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
142,Technology in mathematics,0.33,Below hinge,AI-NATIVE,Low,High,"Core routine is procedural or digital enough for AI/system delivery, assuming accuracy, alignment, and monitoring."
143,ADHD – treatment with drugs,0.32,Below hinge,AI-ADJACENT,Low,No,"AI may track or report on this influence, but it is not the causal mechanism."
144,Principals/school leaders,0.32,Below hinge,AI-RESISTANT,High,Low,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
145,School climate,0.32,Below hinge,AI-RESISTANT,High,Moderate,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
146,Average teacher effects,0.32,Below hinge,AI-ADJACENT,High,Low,"AI may track or report on this influence, but it is not the causal mechanism."
147,Adjunct aids,0.32,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
148,External accountability systems,0.31,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
149,Matching style of learning,0.31,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
150,Manipulative materials on math,0.3,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
151,Ability grouping for gifted students,0.3,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
152,Teaching test taking and coaching,0.3,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
153,Technology with high school students,0.3,Below hinge,AI-NATIVE,Low,High,"Core routine is procedural or digital enough for AI/system delivery, assuming accuracy, alignment, and monitoring."
154,Mindfulness,0.29,Below hinge,AI-ADJACENT,Low,Moderate,"AI may track or report on this influence, but it is not the causal mechanism."
155,Home visiting,0.29,Below hinge,AI-RESISTANT,High,Low,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
156,Cognitive behavioral programs,0.29,Below hinge,AI-ADJACENT,Low,Moderate,"AI may track or report on this influence, but it is not the causal mechanism."
157,Online and digital tools,0.29,Below hinge,AI-NATIVE,Low,High,"Core routine is procedural or digital enough for AI/system delivery, assuming accuracy, alignment, and monitoring."
158,Technology in reading/literacy,0.29,Below hinge,AI-NATIVE,Low,High,"Core routine is procedural or digital enough for AI/system delivery, assuming accuracy, alignment, and monitoring."
159,Homework,0.29,Below hinge,AI-RESISTANT,High,High,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
160,Desegregation,0.28,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
161,Pre-school programs,0.28,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
162,Whole-school improvement programs,0.28,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
163,Use of calculators,0.27,Below hinge,AI-NATIVE,Low,High,"Core routine is procedural or digital enough for AI/system delivery, assuming accuracy, alignment, and monitoring."
164,Mainstreaming/inclusion,0.27,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
165,Student personality attributes,0.26,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
166,Exercise/relaxation,0.26,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
167,Lack of illness,0.26,Below hinge,AI-ADJACENT,Low,No,"AI may track or report on this influence, but it is not the causal mechanism."
168,Out-of-school curricula experiences,0.26,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
169,Volunteer tutors,0.26,Below hinge,AI-RESISTANT,High,Low,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
170,Problem-based learning,0.26,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
171,Use of PowerPoint,0.26,Below hinge,AI-NATIVE,Low,High,"Core routine is procedural or digital enough for AI/system delivery, assuming accuracy, alignment, and monitoring."
172,Grit/incremental vs. entity thinking,0.25,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
173,Adopted vs non-adopted care,0.25,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
174,Religious schools,0.24,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
175,Competitive vs. individualistic learning,0.24,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
176,Intact (two-parent) families,0.23,Below hinge,AI-ADJACENT,High,Low,"AI may track or report on this influence, but it is not the causal mechanism."
177,Summer school,0.23,Below hinge,AI-ADJACENT,Low,Moderate,"AI may track or report on this influence, but it is not the causal mechanism."
178,Teacher personality attributes,0.23,Below hinge,AI-ADJACENT,High,Low,"AI may track or report on this influence, but it is not the causal mechanism."
179,Individualized instruction,0.23,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
180,Programmed instruction,0.23,Below hinge,AI-NATIVE,Low,Low,"Core routine is procedural or digital enough for AI/system delivery, assuming accuracy, alignment, and monitoring."
181,Technology in science,0.23,Below hinge,AI-NATIVE,Low,High,"Core routine is procedural or digital enough for AI/system delivery, assuming accuracy, alignment, and monitoring."
182,Teacher verbal ability,0.22,Below hinge,AI-RESISTANT,High,Low,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
183,Clickers,0.22,Below hinge,AI-NATIVE,Low,High,"Core routine is procedural or digital enough for AI/system delivery, assuming accuracy, alignment, and monitoring."
184,Visual/audio-visual methods,0.22,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
185,Finances,0.21,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
186,Reducing class size,0.21,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
187,Interleaved practice,0.21,Below hinge,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
188,Discovery-based teaching,0.21,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
189,Technology in small groups,0.21,Below hinge,AI-RESISTANT,High,High,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
190,Student support programs – college,0.21,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
191,Extra-curricula programs,0.2,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
192,Engaged vs disengaged fathers,0.2,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
193,Aptitude/treatment interactions,0.19,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
